iter	Passed	Remaining
0	212	21065
1	282	13862
2	347	11245
3	414	9955
4	479	9105
5	543	8516
6	608	8090
7	671	7720
8	732	7410
9	799	7196
10	860	6964
11	920	6748
12	986	6599
13	1049	6444
14	1106	6271
15	1167	6131
16	1234	6025
17	1295	5903
18	1357	5787
19	1422	5688
20	1486	5593
21	1556	5518
22	1618	5417
23	1684	5333
24	1740	5220
25	1807	5143
26	1868	5052
27	1932	4969
28	1991	4874
29	2048	4780
30	2114	4705
31	2174	4621
32	2237	4541
33	2298	4462
34	2357	4378
35	2422	4306
36	2480	4224
37	2549	4159
38	2615	4091
39	2682	4024
40	2743	3947
41	2802	3869
42	2869	3803
43	2929	3727
44	2995	3660
45	3062	3595
46	3124	3523
47	3192	3458
48	3252	3385
49	3318	3318
50	3376	3243
51	3434	3170
52	3502	3106
53	3572	3043
54	3638	2976
55	3694	2903
56	3752	2830
57	3812	2760
58	3870	2689
59	3929	2619
60	3994	2553
61	4055	2485
62	4119	2419
63	4173	2347
64	4228	2277
65	4290	2210
66	4346	2140
67	4400	2070
68	4461	2004
69	4525	1939
70	4584	1872
71	4647	1807
72	4706	1740
73	4763	1673
74	4826	1608
75	4897	1546
76	4958	1481
77	5023	1416
78	5083	1351
79	5146	1286
80	5208	1221
81	5270	1156
82	5334	1092
83	5394	1027
84	5451	961
85	5514	897
86	5585	834
87	5656	771
88	5724	707
89	5782	642
90	5844	578
91	5910	513
92	5978	449
93	6039	385
94	6097	320
95	6166	256
96	6233	192
97	6287	128
98	6350	64
99	6410	0
